 Process ENDF/B Double Differential Data - MF=6 (SIXPAK 2019-1)
 ==============================================================================
 ENDF/B Input Data Filename
 SIXPAK.IN                                                               
 ------------------------------------------------------------------------------
 Requested Ranges
 ------------------------------------------------------------------------------
    Minimum    Maximum   
    MAT  MT    MAT  MT
 ------------------------------------------------------------------------------
      1   1   9999 999
 ==============================================================================
 Terminology
 ------------------------------------------------------------------------------
 LCT  = Reference System (Lab or Center-of-Mass)
 LIP  = Product Modifier, e.g., for Isomeric States
 LAW  = Representation of Data - see, List at End of Output
 LANG = 1     = Legendre     (LAW 1)
      = 2     = Kalbach-Mann (LAW 1)
      = 11-15 = Tabulated    (LAW 1)
      = 0     = Legendre     (LAW 2)
      = 11-15 = Tabulated    (LAW 2)
 LTP  = 1-2   = Legendre     (LAW 5)
      = 11-15 = Tabulated    (LAW 5)
 LEP  = Secondary Energy Interpolation Type(1 to 5)
 ==============================================================================
 Tape Label
 ------------------------------------------------------------------------------
  JENDL/PD-2016.1  Sr- 90                                             1
 ------------------------------------------------------------------------------
 WARNING: MT=5 is ALLOWED in MF=6, but NOT in MF=4 or 5.
          see ENDF-102 - Strictly for diagnostic purposes
          this code will Translate MF=6 Data - but be
          WARNED - the results should not be used in ANY          APPLICATIONS.
 ------------------------------------------------------------------------------
 ==============================================================================
 Projectile   Target    Emitted    MAT  MT LCT LIP LAW LANG  LEP  ENDF/B
                                                        LTP       Output
 ==============================================================================
  Photon     38-Sr-90   Neutron   3843   5 cm    0   1    1    2      
  Photon     38-Sr-90    1-H -1   3843   5 cm    0   1    1    2      
  Photon     38-Sr-90    1-H -2   3843   5 cm    0   1    1    2      
  Photon     38-Sr-90    1-H -3   3843   5 cm    0   1    1    2      
  Photon     38-Sr-90    2-He-3   3843   5 cm    0   1    1    2      
  Photon     38-Sr-90    2-He-4   3843   5 cm    0   1    1    2      
  Photon     38-Sr-90   20-Ca-54  3843   5 cm    0   0                
  Photon     38-Sr-90   21-Sc-55  3843   5 cm    0   0                
  Photon     38-Sr-90   21-Sc-56  3843   5 cm    0   0                
  Photon     38-Sr-90   21-Sc-57  3843   5 cm    0   0                
  Photon     38-Sr-90   22-Ti-56  3843   5 cm    0   0                
  Photon     38-Sr-90   22-Ti-57  3843   5 cm    0   0                
  Photon     38-Sr-90   22-Ti-58  3843   5 cm    0   0                
  Photon     38-Sr-90   22-Ti-59  3843   5 cm    0   0                
  Photon     38-Sr-90   22-Ti-60  3843   5 cm    0   0                
  Photon     38-Sr-90   23-V -57  3843   5 cm    0   0                
  Photon     38-Sr-90   23-V -58  3843   5 cm    0   0                
  Photon     38-Sr-90   23-V -59  3843   5 cm    0   0                
  Photon     38-Sr-90   23-V -60  3843   5 cm    0   0                
  Photon     38-Sr-90   23-V -60  3843   5 cm    1   0                
  Photon     38-Sr-90   23-V -61  3843   5 cm    0   0                
  Photon     38-Sr-90   23-V -62  3843   5 cm    0   0                
  Photon     38-Sr-90   23-V -63  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-58  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-59  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-60  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-61  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-62  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-63  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-64  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-65  3843   5 cm    0   0                
  Photon     38-Sr-90   24-Cr-66  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-59  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-60  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-60  3843   5 cm    1   0                
  Photon     38-Sr-90   25-Mn-61  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-62  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-63  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-64  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-65  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-66  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-67  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-68  3843   5 cm    0   0                
  Photon     38-Sr-90   25-Mn-69  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-60  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-61  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-62  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-63  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-64  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-65  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-66  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-67  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-68  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-69  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-70  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-71  3843   5 cm    0   0                
  Photon     38-Sr-90   26-Fe-72  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-61  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-62  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-62  3843   5 cm    1   0                
  Photon     38-Sr-90   27-Co-63  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-64  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-65  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-66  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-67  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-68  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-68  3843   5 cm    1   0                
  Photon     38-Sr-90   27-Co-69  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-70  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-70  3843   5 cm    1   0                
  Photon     38-Sr-90   27-Co-71  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-72  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-73  3843   5 cm    0   0                
  Photon     38-Sr-90   27-Co-74  3843   5 cm    0   0                
