 Process ENDF/B Double Differential Data - MF=6 (SIXPAK 2019-1)
 ==============================================================================
 ENDF/B Input Data Filename
 SIXPAK.IN                                                               
 ------------------------------------------------------------------------------
 Requested Ranges
 ------------------------------------------------------------------------------
    Minimum    Maximum   
    MAT  MT    MAT  MT
 ------------------------------------------------------------------------------
      1   1   9999 999
 ==============================================================================
 Terminology
 ------------------------------------------------------------------------------
 LCT  = Reference System (Lab or Center-of-Mass)
 LIP  = Product Modifier, e.g., for Isomeric States
 LAW  = Representation of Data - see, List at End of Output
 LANG = 1     = Legendre     (LAW 1)
      = 2     = Kalbach-Mann (LAW 1)
      = 11-15 = Tabulated    (LAW 1)
      = 0     = Legendre     (LAW 2)
      = 11-15 = Tabulated    (LAW 2)
 LTP  = 1-2   = Legendre     (LAW 5)
      = 11-15 = Tabulated    (LAW 5)
 LEP  = Secondary Energy Interpolation Type(1 to 5)
 ==============================================================================
 Tape Label
 ------------------------------------------------------------------------------
  JENDL/PD-2016.1  Cd-110                                             1
 ------------------------------------------------------------------------------
 WARNING: MT=5 is ALLOWED in MF=6, but NOT in MF=4 or 5.
          see ENDF-102 - Strictly for diagnostic purposes
          this code will Translate MF=6 Data - but be
          WARNED - the results should not be used in ANY          APPLICATIONS.
 ------------------------------------------------------------------------------
 ==============================================================================
 Projectile   Target    Emitted    MAT  MT LCT LIP LAW LANG  LEP  ENDF/B
                                                        LTP       Output
 ==============================================================================
  Photon     48-Cd-110  Neutron   4837   5 cm    0   1    1    2      
  Photon     48-Cd-110   1-H -1   4837   5 cm    0   1    1    2      
  Photon     48-Cd-110   1-H -2   4837   5 cm    0   1    1    2      
  Photon     48-Cd-110   1-H -3   4837   5 cm    0   1    1    2      
  Photon     48-Cd-110   2-He-3   4837   5 cm    0   1    1    2      
  Photon     48-Cd-110   2-He-4   4837   5 cm    0   1    1    2      
  Photon     48-Cd-110  29-Cu-73  4837   5 cm    0   0                
  Photon     48-Cd-110  30-Zn-74  4837   5 cm    0   0                
  Photon     48-Cd-110  30-Zn-75  4837   5 cm    0   0                
  Photon     48-Cd-110  30-Zn-76  4837   5 cm    0   0                
  Photon     48-Cd-110  31-Ga-75  4837   5 cm    0   0                
  Photon     48-Cd-110  31-Ga-76  4837   5 cm    0   0                
  Photon     48-Cd-110  31-Ga-77  4837   5 cm    0   0                
  Photon     48-Cd-110  31-Ga-78  4837   5 cm    0   0                
  Photon     48-Cd-110  31-Ga-79  4837   5 cm    0   0                
  Photon     48-Cd-110  32-Ge-76  4837   5 cm    0   0                
  Photon     48-Cd-110  32-Ge-77  4837   5 cm    0   0                
  Photon     48-Cd-110  32-Ge-77  4837   5 cm    1   0                
  Photon     48-Cd-110  32-Ge-78  4837   5 cm    0   0                
  Photon     48-Cd-110  32-Ge-79  4837   5 cm    0   0                
  Photon     48-Cd-110  32-Ge-79  4837   5 cm    1   0                
  Photon     48-Cd-110  32-Ge-80  4837   5 cm    0   0                
  Photon     48-Cd-110  32-Ge-81  4837   5 cm    0   0                
  Photon     48-Cd-110  32-Ge-81  4837   5 cm    1   0                
  Photon     48-Cd-110  32-Ge-82  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-77  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-78  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-79  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-80  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-81  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-82  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-82  4837   5 cm    1   0                
  Photon     48-Cd-110  33-As-83  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-84  4837   5 cm    0   0                
  Photon     48-Cd-110  33-As-85  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-78  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-79  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-79  4837   5 cm    1   0                
  Photon     48-Cd-110  34-Se-80  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-81  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-81  4837   5 cm    1   0                
  Photon     48-Cd-110  34-Se-82  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-83  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-83  4837   5 cm    1   0                
  Photon     48-Cd-110  34-Se-84  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-85  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-86  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-87  4837   5 cm    0   0                
  Photon     48-Cd-110  34-Se-88  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-79  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-79  4837   5 cm    1   0                
  Photon     48-Cd-110  35-Br-80  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-80  4837   5 cm    1   0                
  Photon     48-Cd-110  35-Br-81  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-82  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-82  4837   5 cm    1   0                
  Photon     48-Cd-110  35-Br-83  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-84  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-84  4837   5 cm    1   0                
  Photon     48-Cd-110  35-Br-85  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-86  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-87  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-88  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-89  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-90  4837   5 cm    0   0                
  Photon     48-Cd-110  35-Br-91  4837   5 cm    0   0                
  Photon     48-Cd-110  36-Kr-80  4837   5 cm    0   0                
  Photon     48-Cd-110  36-Kr-81  4837   5 cm    0   0                
  Photon     48-Cd-110  36-Kr-81  4837   5 cm    1   0                
  Photon     48-Cd-110  36-Kr-82  4837   5 cm    0   0                
  Photon     48-Cd-110  36-Kr-83  4837   5 cm    0   0                
  Photon     48-Cd-110  36-Kr-83  4837   5 cm    1   0                
  Photon     48-Cd-110  36-Kr-84  4837   5 cm    0   0                
  Photon     48-Cd-110  36-Kr-85  4837   5 cm    0   0                
  Photon     48-Cd-110  36-Kr-85  4837   5 cm    1   0                
